               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.022483,           0.0065386,            0.001049,             0.98313,             0.37818,             0.42089,             0.34122,             0.02654,           0.0070447,            0.016883,           0.0086833,           0.0086833,           0.0086833
                 135,            0.021467,           0.0062398,          0.00098794,             0.98288,             0.37797,             0.42065,             0.34133,            0.026533,            0.007042,            0.016886,           0.0086734,           0.0086734,           0.0086734
                 136,            0.021078,           0.0062376,          0.00089594,             0.98317,             0.37813,             0.42084,             0.34139,            0.026526,           0.0070368,            0.016901,           0.0086635,           0.0086635,           0.0086635
                 137,            0.021053,           0.0060162,           0.0010139,             0.98343,             0.37814,             0.42135,             0.34193,            0.026523,           0.0070332,            0.016904,           0.0086536,           0.0086536,           0.0086536
                 138,            0.021297,           0.0061598,          0.00075349,             0.98309,             0.37862,             0.42142,             0.34219,            0.026521,           0.0070303,            0.016888,           0.0086437,           0.0086437,           0.0086437
                 139,             0.02102,           0.0060316,          0.00094009,             0.98307,             0.37757,             0.42071,             0.34181,            0.026503,           0.0070309,            0.016886,           0.0086338,           0.0086338,           0.0086338
                 140,            0.021585,           0.0062617,          0.00098746,             0.98156,             0.37863,             0.42038,             0.34164,            0.026486,           0.0070271,            0.016874,           0.0086239,           0.0086239,           0.0086239
                 141,            0.020715,           0.0061189,           0.0007896,             0.98212,              0.3781,              0.4203,             0.34162,            0.026466,           0.0070242,            0.016867,            0.008614,            0.008614,            0.008614
                 142,            0.021464,           0.0061559,          0.00098375,             0.98294,             0.37735,             0.42004,             0.34157,            0.026459,           0.0070196,            0.016856,           0.0086041,           0.0086041,           0.0086041
                 143,            0.020981,           0.0062085,          0.00078221,             0.98307,             0.37727,             0.41993,             0.34183,            0.026435,           0.0070204,            0.016839,           0.0085942,           0.0085942,           0.0085942
